title,tagline
Toy Story,
Jumanji,Roll the dice and unleash the excitement!
Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.
Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.
Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!
Heat,A Los Angeles Crime Saga
Sabrina,You are cordially invited to the most surprising merger of the year.
Tom and Huck,The Original Bad Boys.
Sudden Death,Terror goes into overtime.
GoldenEye,No limits. No fears. No substitutes.
The American President,Why can't the most powerful man in the world have the one thing he wants most?
Dracula: Dead and Loving It,
Balto,Part Dog. Part Wolf. All Hero.
Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."
Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
Casino,No one stays at the top forever.
Sense and Sensibility,Lose your heart and come to your senses.
Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life."
Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.
Money Train,"Get on, or GET OUT THE WAY!"
Get Shorty,"The mob is tough, but it’s nothing like show business."
Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next."
Assassins,"In the shadows of life, In the business of death, One man found a reason to live..."
Powder,An extraordinary encounter with another human being.
Leaving Las Vegas,I Love You... The Way You Are.
Othello,"Envy, greed, jealousy and love."
Now and Then,In every woman there is the girl she left behind.
Persuasion,
The City of Lost Children,Where happily ever after is just a dream.
Shanghai Triad,In 1930's Shanghai violence was not the problem. It was the solution.
Dangerous Minds,She broke the rules... and changed their lives.
Twelve Monkeys,The future is history.
Babe,A little pig goes a long way.
Carrington,A Love so Unusual it has to be True
Dead Man Walking,
Across the Sea of Time,
It Takes Two,Two identical strangers. Two different worlds. One perfect match.
Clueless,Sex. Clothes. Popularity. Is there a problem here?
"Cry, the Beloved Country",
Richard III,"I can smile, and murder while I smile"
Dead Presidents,"In this daring heist, the only color that counts is green"
Restoration,
Mortal Kombat,Nothing In This World Has Prepared You For This.
To Die For,All she wanted was a little attention.
How To Make An American Quilt,There's beauty in the patterns of life.
Se7en,Seven deadly sins. Seven ways to die.
Pocahontas,An American legend comes to life.
When Night Is Falling,
The Usual Suspects,Five Criminals. One Line Up. No Coincidence.
Mighty Aphrodite,
Lamerica,
The Big Green,The biggest kick of the year!
Georgia,The toughest act to follow was their dreams.
Home for the Holidays,We'll do it every year..until we get it right
The Postman,
The Confessional,
The Indian in the Cupboard,
Eye for an Eye,What do you do when justice fails?
Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
Two If by Sea,"A new comedy about love, laughter, and larceny"
Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge."
French Twist,
Friday,A lot can go down between thursday and saturday...
From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.
Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
Kicking and Screaming,Anxiety loves company.
Les Miserables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
Bed of Roses,He gave her flowers. She gave him a chance.
Screamers,The last scream you hear will be your own.
Nico Icon,
The Crossing Guard,"...some lives cross, others collide."
The Juror,There is no defense.
The White Balloon,
Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.
Antonia's Line,A motion picture that celebrates everything you love about life.
Once Upon a Time... When We Were Colored,
Last Summer in the Hamptons,
Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.
White Squall,
Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.
Black Sheep,There's one in every family.
Nick of Time,
Mary Reilly,The untold story of Jekyll and Hyde
Vampire in Brooklyn,A comic tale of horror and seduction.
Beautiful Girls,"Good times never seemed so good,"
Broken Arrow,Prepare to Go Ballistic.
A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.
La Haine,Three Young Friends... One Last Chance.
Shopping,No one leaves without paying...
Heidi Fleiss: Hollywood Madam,   
City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
Bottle Rocket,"They're not really criminals, but everyone's got to have a dream."
Mr. Wrong,
Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
Happy Gilmore,He doesn't play golf... he destroys it.
The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
Muppet Treasure Island,Set sail for Muppet mayhem!
Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty."
Braveheart,Every man dies. Not every man truly lives.
Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody."
Rumble in the Bronx,No Fear. No Stuntman. No Equal.
Before and After,A murder. A suspect. A shadow of a doubt.
Margaret's Museum,She found a way to preserve her memories forever.
Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
The Young Poisoner's Handbook,
If Lucy Fell,A comedy for the romantically challenged.
Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.
The Boys of St. Vincent,
Boomerang,A Player Who's About to be Played.
Chungking Express,What a difference a day makes
The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen."
The Neverending Story III: Escape from Fantasia,It's a brand new beginning in the adventure that never ends
Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.
Angela,
Frankie Starlight,Sometimes the brightest star is the one that shines within.
Jade,Some fantasies go too far.
Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
Man of the Year,He as a centerfold who revealed everything ... but the truth.
Up Close & Personal,"Every Day we Have, is One More Than We Deserve."
The Birdcage,Come as you are.
The Brothers McMullen,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
Bad Boys,Whatcha gonna do?
The Amazing Panda Adventure,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
The Basketball Diaries,The true story of the death of innocence and the birth of an artist.
An Awfully Big Adventure,
Amateur,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
Apollo 13,"Houston, we have a problem."
Rob Roy,Honor made him a man. Courage made him a hero. History made him a legend.
The Addiction,The dark is their sunlight. What makes them different is what keeps them alive.
Batman Forever,"Courage now, truth always..."
Belle de Jour,Luis Bunuel's Masterpiece of Erotica!
Beyond Rangoon,Truth has a witness
Blue in the Face,Welcome to the planet Brooklyn.
Canadian Bacon,"I'll tell ya another thing, their beer sucks!"
Casper,Get an afterlife
Clockers,"When there's murder on the streets, everyone is a suspect."
Congo,Where you are the endangered species.
Crimson Tide,Danger runs deep.
Crumb,Weird sex · Obsession · Comic books
Desperado,"When the smoke clears, it just means he's reloading."
Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
Die Hard: With a Vengeance,Think fast. Look alive. Die hard.
The Doom Generation,Sex. Violence. Whatever.
Feast of July,There is no escape from the past.
First Knight,Their greatest battle would be for her love.
Free Willy 2 - The Adventure Home,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.
Hackers,"There is no right or wrong, only fun and boring"
Jeffrey,Love is an adventure when one of you is sure... and the other is positive.
Johnny Mnemonic,The hottest data on earth. In the coolest head in town.
Judge Dredd,"In the future, one man is the law."
Jury Duty,For truth. For justice. For five bucks a day.
Kids,
Living in Oblivion,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!
Lord of Illusions,Trust Nothing Except Your Fear.
Love & Human Remains,
Mad Love,A wild and sexy adventure!
Mallrats,They're not there to shop. They're not there to work. They're just there.
Mighty Morphin Power Rangers: The Movie,The Power Is On!
Mute Witness,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.
Nadja,Unseen. Unforgiving. Undead.
The Net,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
Nine Months,Ready or Not.
Party Girl,"Sassy, savvy and definitely clued-in!"
The Prophecy,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
Reckless,The most twisted Christmas ever.
